"student_uid","subject_id","present_classes","total_classes","absent_classes","duty_leave_classes","last_updated"
"RSET2024CSE001","1","36","46","9","1","2026-09-08"
"RSET2024CSE001","2","38","42","2","2","2026-09-05"
"RSET2024CSE001","3","35","38","3","0","2026-09-05"
"RSET2024CSE001","4","34","36","2","0","2026-09-05"
"RSET2024CSE001","5","28","30","2","0","2026-09-05"
"RSET2024CSE001","6","18","20","1","1","2026-09-05"
"RSET2024CSE002","1","32","40","7","1","2026-09-08"
"RSET2024CSE002","2","35","42","7","0","2026-09-05"
"RSET2024CSE002","3","32","38","6","0","2026-09-05"
"RSET2024CSE004","1","25","40","15","0","2026-09-05"
"RSET2024CSE004","2","27","42","15","0","2026-09-05"
"RSET2024CSE004","3","24","38","14","0","2026-09-05"
"RSET2024CSE003","1","37","40","3","0","2026-09-05"
"RSET2024ECE002","7","24","36","12","0","2026-09-05"
"RSET2024CSE001","sub1","36","40","3","1","2026-09-08"
