"id","student_uid","subject_id","class","semester","date","period","status"
"1","RSET2024CSE001","1","S5 CSE A","S5","2026-09-01","1","Present"
"2","RSET2024CSE001","2","S5 CSE A","S5","2026-09-01","2","Present"
"3","RSET2024CSE001","3","S5 CSE A","S5","2026-09-01","3","Present"
"4","RSET2024CSE001","4","S5 CSE A","S5","2026-09-02","1","Duty Leave"
"5","RSET2024CSE001","5","S5 CSE A","S5","2026-09-02","2","Present"
"6","RSET2024CSE001","1","S5 CSE A","S5","2026-09-03","4","Present"
"7","RSET2024CSE001","2","S5 CSE A","S5","2026-09-04","2","Absent"
"8","RSET2024CSE001","3","S5 CSE A","S5","2026-09-04","3","Present"
"9","RSET2024CSE001","6","S5 CSE A","S5","2026-09-05","5","Present"
"10","RSET2024CSE001","6","S5 CSE A","S5","2026-09-05","6","Present"
