"student_uid","semester","academic_year","course_code","course_title","credits","grade","grade_point","max_marks","marks_obtained","result_status","published_date"
"RSET2024CSE001","S1","2024-25","MAT101","Linear Algebra and Calculus","4","O","10","100","95","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","PHT100","Engineering Physics A","4","A+","9","100","88","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","EST100","Engineering Mechanics","3","A","8.5","100","83","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","EST102","Basics of Electrical & Electronics Engineering","4","A+","9","100","89","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","HUN101","Life Skills & Professional Communication","2","O","10","100","94","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","PHL120","Engineering Physics Lab","1","O","10","100","98","PASS","2025-02-15"
"RSET2024CSE001","S1","2024-25","ESL130","Basics Electrical & Electronics Workshop","1","O","10","100","97","PASS","2025-02-15"
"RSET2024CSE001","S2","2024-25","MAT102","Vector Calculus, Differential Equations and Transforms","4","O","10","100","96","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","CYT100","Engineering Chemistry","4","A+","9","100","87","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","EST110","Engineering Graphics","3","A","8.5","100","82","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","EST104","Basics of Civil & Mechanical Engineering","4","A+","9","100","89","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","EST125","Programming in C","4","O","10","100","98","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","CYL120","Engineering Chemistry Lab","1","O","10","100","99","PASS","2025-07-20"
"RSET2024CSE001","S2","2024-25","ESL125","C Programming Lab","1","O","10","100","100","PASS","2025-07-20"
"RSET2024CSE001","S3","2025-26","MAT203","Discrete Mathematical Structures","4","O","10","100","94","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","CST201","Data Structures","4","O","10","100","95","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","CST203","Logic System Design","4","A+","9","100","88","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","CST205","Object Oriented Programming using Java","4","O","10","100","97","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","MCN201","Sustainable Engineering","2","A","8.5","100","84","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","CSL201","Data Structures Lab","2","O","10","100","99","PASS","2026-02-12"
"RSET2024CSE001","S3","2025-26","CSL203","Object Oriented Programming Lab","2","O","10","100","98","PASS","2026-02-12"
"RSET2024CSE001","S4","2025-26","MAT206","Graph Theory","4","A+","9","100","89","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","CST202","Computer Organization & Architecture","4","A","8.5","100","84","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","CST204","Database Management Systems","4","O","10","100","96","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","CST206","Operating Systems","4","A+","9","100","88","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","EST200","Design and Engineering","2","A+","9","100","90","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","CSL202","Digital Lab","2","O","10","100","97","PASS","2026-07-28"
"RSET2024CSE001","S4","2025-26","CSL204","Database Management Systems Lab","2","O","10","100","99","PASS","2026-07-28"
"RSET2024CSE002","S4","2025-26","MAT206","Graph Theory","4","A","8.5","100","82","PASS","2026-07-28"
"RSET2024CSE002","S4","2025-26","CST204","Database Management Systems","4","A+","9","100","87","PASS","2026-07-28"
"RSET2024CSE002","S4","2025-26","CST206","Operating Systems","4","B+","8","100","78","PASS","2026-07-28"
"RSET2024CSE004","S4","2025-26","MAT206","Graph Theory","4","F","0","100","38","SUPPLEMENTARY","2026-07-28"
"RSET2024CSE004","S4","2025-26","CST204","Database Management Systems","4","B","7","100","68","PASS","2026-07-28"
"RSET2024CSE004","S4","2025-26","CST206","Operating Systems","4","C","6","100","61","PASS","2026-07-28"
