"student_uid","subject_id","internal1","internal2","assignment","project","max_internal1","max_internal2","max_assignment","max_project"
"RSET2024CSE001","1","28","29","9.5","9.5","30","30","10","10"
"RSET2024CSE001","2","27","28","9.0","9.0","30","30","10","10"
"RSET2024CSE001","3","26","27","9.0","8.5","30","30","10","10"
"RSET2024CSE001","4","29","28","10","9.5","30","30","10","10"
"RSET2024CSE001","5","25","27","9.0","9.0","30","30","10","10"
"RSET2024CSE001","6","29","30","10","10","30","30","10","10"
"RSET2024CSE002","1","24","25","8.5","8","30","30","10","10"
"RSET2024CSE002","2","25","26","8.5","8.5","30","30","10","10"
"RSET2024CSE004","1","16","18","7.0","6.5","30","30","10","10"
"RSET2024CSE004","2","17","16","7.0","7.0","30","30","10","10"
"RSET2024CSE001","sub1","28","29","9.5","9.5","30","30","10","10"
