"id","code","name","teacher","semester","credits"
"1","CST301","Formal Languages and Automata Theory","Dr. Elizabeth Isaac","S5","4"
"2","CST303","Computer Networks","Prof. Jisha G","S5","4"
"3","CST305","System Software","Prof. Paul Augustine","S5","4"
"4","CST307","Microprocessors and Microcontrollers","Dr. Ramkumar B","S5","4"
"5","CST309","Management of Software Systems","Prof. Mary Priya","S5","3"
"6","CSL331","System Software & Microprocessors Lab","Prof. Paul Augustine","S5","2"
"7","CST202","Computer Organization & Architecture","Dr. Anita V","S4","4"
"8","CST204","Database Management Systems","Prof. Arun Kumar","S4","4"
"9","CST206","Operating Systems","Dr. Mathew George","S4","4"
"10","EST200","Design and Engineering","Prof. Shaji K","S4","2"
"11","MAT203","Discrete Mathematical Structures","Dr. Vinod P","S3","4"
"12","CST201","Data Structures","Prof. Neethu Roy","S3","4"
"13","CST203","Logic System Design","Dr. Bobby Mathew","S3","4"
